rf,rs,mr,throughput(ops),ete_latency50,ete_min,ete_1P,ete_5P,ete_10P,ete_90P,ete_95P,ete_99P,ete_max,ete_latency_avg,ete_std,first_latency50,first_min,first_1P,first_5P,first_10P,first_90P,first_95P,first_99P,first_max,first_latency_avg,first_std,second_latency50,second_min,second_1P,second_5P,second_10P,second_90P,second_95P,second_99P,second_max,second_latency_avg,second_std,third_latency50,third_min,third_1P,third_5P,third_10P,third_90P,third_95P,third_99P,third_max,third_latency_avg,third_std,throughput(MiB/s)
1,1024,-1,52,12909352,12239248,12239281,12239565,12239942,12917149,12917595,12918013,12918102,12688861,317013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1024,1000,999,663,430,504,553,578,10768,18175,23253,26861,2754,5452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1024,15000,12142,7456,451,483,522,550,40682,43795,48626,48695,15506,16367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1,1024,20000,12184,689,433,475,512,534,64408,68453,72418,72492,14912,23049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1,1024,30000,14044,4032,459,477,528,577,9196,69567,69676,69704,9407,18241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
1,16384,60000,119,4730122,4419625,4419741,4420360,4420756,7539007,7540230,7541244,7541470,5506381,1324082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,16384,-1,152,4397578,4203640,4204153,4206141,4208763,4484015,4485171,4486062,4486347,4364184,112899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,16384,50000,210,3073387,2800642,2800858,2801734,2802382,3389162,3389797,3390918,3391100,3089493,238418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,16384,30000,393,1587669,1576064,1576560,1578542,1580995,1843711,1846369,1849066,1849182,1652473,98759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1,16384,20000,6888,74603,500,874,51357,55137,89107,90894,94632,94768,71555,17994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
1,262144,-1,66,5210116,3168230,3168910,3170098,3171124,6611401,6612426,6613933,6614695,4997668,1412064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
1,262144,5000,74,4021406,3995745,3996751,4001180,4003887,5275276,5278218,5282179,5283995,4431167,589649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
1,262144,3000,154,2203557,1724266,1728810,1735906,1746313,2268918,2277787,2285799,2288674,2072596,223910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
1,262144,2000,276,1036095,869337,871232,876138,894154,1355152,1369758,1384491,1388328,1095758,177747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
1,262144,1000,993,1146,697,860,927,969,2357,5772,20716,28827,2023,3405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248
3,1024,-1,20,16730327,16432679,16432690,16433331,16433960,16759324,16759581,16759801,16759886,16641181,146648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1024,25000,1410,481567,502,545,639,701,881994,885886,887796,889619,453566,358905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1024,5000,2815,186838,390,414,463,502,263147,275973,290864,295022,145686,107372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,1024,15000,3128,644,431,480,503,530,529462,535554,541416,541503,174516,246109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3,16384,-1,53,12332715,12313242,12313795,12316011,12318860,12653533,12656645,12659046,12659715,12435160,152005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,16384,30000,53,12465281,12179111,12179450,12182417,12184330,12623851,12625450,12626789,12627432,12423870,179431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,262144,-1,26,12401380,12372854,12375611,12377908,12378931,12576277,12577151,12578187,12579192,12452267,87707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
